"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
A. Morin,Agua Grande,1876,2016,63%,France,3.75,NaN,Sao Tome
A. Morin,Kpime,1676,2015,70%,France,2.75,NaN,Togo
A. Morin,Atsane,1676,2015,70%,France,3,NaN,Togo
A. Morin,Akata,1680,2015,70%,France,3.5,NaN,Togo
A. Morin,Quilla,1704,2015,70%,France,3.5,NaN,Peru
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela
A. Morin,Cuba,1315,2014,70%,France,3.5,NaN,Cuba
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela
A. Morin,Pablino,1319,2014,70%,France,4,NaN,Peru
A. Morin,Panama,1011,2013,70%,France,2.75,NaN,Panama
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar
A. Morin,Brazil,1011,2013,70%,France,3.25,NaN,Brazil
A. Morin,Equateur,1011,2013,70%,France,3.75,NaN,Ecuador
A. Morin,Colombie,1015,2013,70%,France,2.75,NaN,Colombia
A. Morin,Birmanie,1015,2013,70%,France,3,NaN,Burma
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25,NaN,Papua New Guinea
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela
A. Morin,Piura,1019,2013,70%,France,3.25,NaN,Peru
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5,NaN,Peru
A. Morin,Chanchamayo Province,1019,2013,63%,France,4,NaN,Peru
A. Morin,Bolivia,797,2012,70%,France,3.5,NaN,Bolivia
A. Morin,Peru,797,2012,63%,France,3.75,NaN,Peru
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75,NaN,Peru
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,1215,2014,75%,France,3,Trinitario,Madagascar
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.5,NaN,Peru
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75,NaN,Nicaragua
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3,NaN,Peru
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5,NaN,Bolivia
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5,NaN,Peru
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75,NaN,Ecuador
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.5,NaN,Venezuela
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25,NaN,Bolivia
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3,NaN,Bolivia
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25,NaN,Peru
Amano,Morobe,725,2011,70%,U.S.A.,4,NaN,Papua New Guinea
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75,NaN,Dominican Republic
Amano,Guayas,470,2010,70%,U.S.A.,4,NaN,Ecuador
Amano,Chuao,544,2010,70%,U.S.A.,3,Trinitario,Venezuela
Amano,Montanya,363,2009,70%,U.S.A.,3,NaN,Venezuela
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75,NaN,Indonesia
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar
Amano,Cuyagua,147,2007,70%,U.S.A.,3,NaN,Venezuela
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75,NaN,Ecuador
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75,NaN,Ecuador
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25,NaN,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25,NaN,Dominican Republic
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25,NaN,Papua New Guinea
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25,NaN,Venezuela
Ambrosia,Peru,1498,2015,68%,Canada,3.5,NaN,Peru
